pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY	0.08125	0.396013779527559	0.195789002148949	0.492766136167823	1.43052310669483	21	PLCB4;SLC25A5;PLCB1;CHRM1;CHRM3;SLC25A31;CHRM5;VDAC2;CYCS;PLCB3	non-significant
KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY	0.075	0.389238232123608	0.204294756516886	0.495240639108567	1.42456378504932	20	PLCB4;SLC25A5;PLCB1;CHRM1;CHRM3;SLC25A31;CHRM5;VDAC2;CYCS;PLCB3	non-significant
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.0726429675425039	0.388087774294671	0.206587922696891	0.445621411313292	1.42183895186581	35	PSMD3;PSMB5;PSMD11;PSMD8;PSMA3;PSMD7;PSMD14;PSMC5;PSMA6;PSMA2;PSMB6;PSMD2;PSMB7;PSMC1;PSMB3;PSMD12;PSMD1;PSMA1;PSMA8;PSMA5;PSMB4;PSMD4;PSMB1	non-significant
KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY	0.078125	0.389994959677419	0.199915231309662	0.494131089127516	1.42137215537299	20	TUBA4A;TUBB4B;TUBB1;TUBB3;TUBA1B;TUBA1C	non-significant
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT	0.0919175911251981	0.420476213175708	0.184706471207739	0.515004056586568	1.42005133702883	17	TUBA4A;TUBB4B;TUBB1;TUBB3;TUBA1B;TUBA1C	non-significant
KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	0.078003120124805	0.389994959677419	0.199915231309662	0.47244454074844	1.41354759210758	26	IFNG;STAT1;IFNAR2;IFNA10;IFNGR1;IFNA21;IFNA5;IFNA2;JAK2;IFNA8;IFNA6;IFNGR2;STAT4;IFNA16;JAK3;STAT3;STAT2	non-significant
KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY	0.097331240188383	0.43500166754014	0.178219874951973	0.502069923030618	1.41274209664287	19	STAT1;IFNAR2;IFNW1;IFNK;IFNA10;IFNA21;IFNA5;IFNA2;IFNA8;IFNA6;IFNA16;STAT2;IFNE;IFNB1;IFNA4	non-significant
KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY	0.0998415213946117	0.435224660163836	0.176694268938498	0.541123767909646	1.41156530110929	14	CD19;PIK3R3;PIK3AP1;PIK3R2;SYK;LYN	non-significant
KEGG_MEDICUS_PATHOGEN_SHIGELLA_FIMA_TO_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS	0.0846286701208981	0.407066419561188	0.20207170902116	0.692792007640332	1.4098824836648	6	HK3;HK2;HKDC1	non-significant
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	0.089171974522293	0.411921285293279	0.188204146308491	0.551268183556621	1.40504915386426	13	HLA-DRB1;HLA-DQB1;HLA-DOB;HLA-DRA;HLA-DMB;HLA-DRB5;HLA-DPB1;HLA-DMA;HLA-DPA1;CD74;HLA-DOA	non-significant
